Outcode,Postal Code,Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
W1,65,65,65,65,65,65,65,65,65,65,65,65
EC1,31,31,31,31,31,31,31,31,31,31,31,31
EC4,25,25,25,25,25,25,25,25,25,25,25,25
SW1,24,24,24,24,24,24,24,24,24,24,24,24
EC2,23,23,23,23,23,23,23,23,23,23,23,23
EC3,22,22,22,22,22,22,22,22,22,22,22,22
WC2,20,20,20,20,20,20,20,20,20,20,20,20
WC1,20,20,20,20,20,20,20,20,20,20,20,20
E1,3,3,3,3,3,3,3,3,3,3,3,3
SE92,1,1,1,1,1,1,1,1,1,1,1,1
SE91,1,1,1,1,1,1,1,1,1,1,1,1
SE85,1,1,1,1,1,1,1,1,1,1,1,1
SE84,1,1,1,1,1,1,1,1,1,1,1,1
SE61,1,1,1,1,1,1,1,1,1,1,1,1
SE83,1,1,1,1,1,1,1,1,1,1,1,1
SE93,1,1,1,1,1,1,1,1,1,1,1,1
SE94,1,1,1,1,1,1,1,1,1,1,1,1
SE95,1,1,1,1,1,1,1,1,1,1,1,1
SE78,1,1,1,1,1,1,1,1,1,1,1,1
SE77,1,1,1,1,1,1,1,1,1,1,1,1
SE64,1,1,1,1,1,1,1,1,1,1,1,1
SE63,1,1,1,1,1,1,1,1,1,1,1,1
SE62,1,1,1,1,1,1,1,1,1,1,1,1
SE59,1,1,1,1,1,1,1,1,1,1,1,1
SM44,1,1,1,1,1,1,1,1,1,1,1,1
SE288,1,1,1,1,1,1,1,1,1,1,1,1
SE255,1,1,1,1,1,1,1,1,1,1,1,1
SE256,1,1,1,1,1,1,1,1,1,1,1,1
SE264,1,1,1,1,1,1,1,1,1,1,1,1
SE265,1,1,1,1,1,1,1,1,1,1,1,1
SE266,1,1,1,1,1,1,1,1,1,1,1,1
SE270,1,1,1,1,1,1,1,1,1,1,1,1
SE279,1,1,1,1,1,1,1,1,1,1,1,1
SE280,1,1,1,1,1,1,1,1,1,1,1,1
SE29,1,1,1,1,1,1,1,1,1,1,1,1
SE58,1,1,1,1,1,1,1,1,1,1,1,1
SE30,1,1,1,1,1,1,1,1,1,1,1,1
SE37,1,1,1,1,1,1,1,1,1,1,1,1
SE38,1,1,1,1,1,1,1,1,1,1,1,1
SE39,1,1,1,1,1,1,1,1,1,1,1,1
SE41,1,1,1,1,1,1,1,1,1,1,1,1
SE42,1,1,1,1,1,1,1,1,1,1,1,1
SE50,1,1,1,1,1,1,1,1,1,1,1,1
SE57,1,1,1,1,1,1,1,1,1,1,1,1
SE96,1,1,1,1,1,1,1,1,1,1,1,1
SW100,1,1,1,1,1,1,1,1,1,1,1,1
SM45,1,1,1,1,1,1,1,1,1,1,1,1
SW166,1,1,1,1,1,1,1,1,1,1,1,1
SW155,1,1,1,1,1,1,1,1,1,1,1,1
SW156,1,1,1,1,1,1,1,1,1,1,1,1
SW161,1,1,1,1,1,1,1,1,1,1,1,1
SW162,1,1,1,1,1,1,1,1,1,1,1,1
SW163,1,1,1,1,1,1,1,1,1,1,1,1
SW164,1,1,1,1,1,1,1,1,1,1,1,1
SW165,1,1,1,1,1,1,1,1,1,1,1,1
SW170,1,1,1,1,1,1,1,1,1,1,1,1
SW153,1,1,1,1,1,1,1,1,1,1,1,1
SW176,1,1,1,1,1,1,1,1,1,1,1,1
SW177,1,1,1,1,1,1,1,1,1,1,1,1
SW178,1,1,1,1,1,1,1,1,1,1,1,1
SW179,1,1,1,1,1,1,1,1,1,1,1,1
SW181,1,1,1,1,1,1,1,1,1,1,1,1
SW182,1,1,1,1,1,1,1,1,1,1,1,1
SW183,1,1,1,1,1,1,1,1,1,1,1,1
SW154,1,1,1,1,1,1,1,1,1,1,1,1
SW152,1,1,1,1,1,1,1,1,1,1,1,1
SM46,1,1,1,1,1,1,1,1,1,1,1,1
SW116,1,1,1,1,1,1,1,1,1,1,1,1
SE249,1,1,1,1,1,1,1,1,1,1,1,1
SW109,1,1,1,1,1,1,1,1,1,1,1,1
SW111,1,1,1,1,1,1,1,1,1,1,1,1
SW112,1,1,1,1,1,1,1,1,1,1,1,1
SW113,1,1,1,1,1,1,1,1,1,1,1,1
SW114,1,1,1,1,1,1,1,1,1,1,1,1
SW115,1,1,1,1,1,1,1,1,1,1,1,1
SW120,1,1,1,1,1,1,1,1,1,1,1,1
SW151,1,1,1,1,1,1,1,1,1,1,1,1
SW128,1,1,1,1,1,1,1,1,1,1,1,1
SW129,1,1,1,1,1,1,1,1,1,1,1,1
SW130,1,1,1,1,1,1,1,1,1,1,1,1
SW138,1,1,1,1,1,1,1,1,1,1,1,1
SW139,1,1,1,1,1,1,1,1,1,1,1,1
SW147,1,1,1,1,1,1,1,1,1,1,1,1
SW148,1,1,1,1,1,1,1,1,1,1,1,1
SE254,1,1,1,1,1,1,1,1,1,1,1,1
SE233,1,1,1,1,1,1,1,1,1,1,1,1
SE240,1,1,1,1,1,1,1,1,1,1,1,1
RM64,1,1,1,1,1,1,1,1,1,1,1,1
SE100,1,1,1,1,1,1,1,1,1,1,1,1
SE108,1,1,1,1,1,1,1,1,1,1,1,1
SE109,1,1,1,1,1,1,1,1,1,1,1,1
SE11,1,1,1,1,1,1,1,1,1,1,1,1
SE114,1,1,1,1,1,1,1,1,1,1,1,1
SE115,1,1,1,1,1,1,1,1,1,1,1,1
SE116,1,1,1,1,1,1,1,1,1,1,1,1
SE12,1,1,1,1,1,1,1,1,1,1,1,1
SE120,1,1,1,1,1,1,1,1,1,1,1,1
SE128,1,1,1,1,1,1,1,1,1,1,1,1
SE129,1,1,1,1,1,1,1,1,1,1,1,1
SE13,1,1,1,1,1,1,1,1,1,1,1,1
SE135,1,1,1,1,1,1,1,1,1,1,1,1
SE136,1,1,1,1,1,1,1,1,1,1,1,1
SE137,1,1,1,1,1,1,1,1,1,1,1,1
SE14,1,1,1,1,1,1,1,1,1,1,1,1
SE145,1,1,1,1,1,1,1,1,1,1,1,1
SE10,1,1,1,1,1,1,1,1,1,1,1,1
NW99,1,1,1,1,1,1,1,1,1,1,1,1
SW185,1,1,1,1,1,1,1,1,1,1,1,1
NW98,1,1,1,1,1,1,1,1,1,1,1,1
NW64,1,1,1,1,1,1,1,1,1,1,1,1
NW65,1,1,1,1,1,1,1,1,1,1,1,1
NW66,1,1,1,1,1,1,1,1,1,1,1,1
NW67,1,1,1,1,1,1,1,1,1,1,1,1
NW71,1,1,1,1,1,1,1,1,1,1,1,1
NW72,1,1,1,1,1,1,1,1,1,1,1,1
NW73,1,1,1,1,1,1,1,1,1,1,1,1
NW74,1,1,1,1,1,1,1,1,1,1,1,1
NW80,1,1,1,1,1,1,1,1,1,1,1,1
NW86,1,1,1,1,1,1,1,1,1,1,1,1
NW87,1,1,1,1,1,1,1,1,1,1,1,1
NW88,1,1,1,1,1,1,1,1,1,1,1,1
NW89,1,1,1,1,1,1,1,1,1,1,1,1
NW90,1,1,1,1,1,1,1,1,1,1,1,1
NW95,1,1,1,1,1,1,1,1,1,1,1,1
NW96,1,1,1,1,1,1,1,1,1,1,1,1
NW97,1,1,1,1,1,1,1,1,1,1,1,1
SE146,1,1,1,1,1,1,1,1,1,1,1,1
SE15,1,1,1,1,1,1,1,1,1,1,1,1
SE151,1,1,1,1,1,1,1,1,1,1,1,1
SE152,1,1,1,1,1,1,1,1,1,1,1,1
SE185,1,1,1,1,1,1,1,1,1,1,1,1
SE186,1,1,1,1,1,1,1,1,1,1,1,1
SE187,1,1,1,1,1,1,1,1,1,1,1,1
SE19,1,1,1,1,1,1,1,1,1,1,1,1
SE191,1,1,1,1,1,1,1,1,1,1,1,1
SE192,1,1,1,1,1,1,1,1,1,1,1,1
SE193,1,1,1,1,1,1,1,1,1,1,1,1
SE20,1,1,1,1,1,1,1,1,1,1,1,1
SE207,1,1,1,1,1,1,1,1,1,1,1,1
SE208,1,1,1,1,1,1,1,1,1,1,1,1
SE217,1,1,1,1,1,1,1,1,1,1,1,1
SE218,1,1,1,1,1,1,1,1,1,1,1,1
SE220,1,1,1,1,1,1,1,1,1,1,1,1
SE228,1,1,1,1,1,1,1,1,1,1,1,1
SE229,1,1,1,1,1,1,1,1,1,1,1,1
SE231,1,1,1,1,1,1,1,1,1,1,1,1
SE232,1,1,1,1,1,1,1,1,1,1,1,1
SE184,1,1,1,1,1,1,1,1,1,1,1,1
SE183,1,1,1,1,1,1,1,1,1,1,1,1
SE182,1,1,1,1,1,1,1,1,1,1,1,1
SE164,1,1,1,1,1,1,1,1,1,1,1,1
SE153,1,1,1,1,1,1,1,1,1,1,1,1
SE154,1,1,1,1,1,1,1,1,1,1,1,1
SE155,1,1,1,1,1,1,1,1,1,1,1,1
SE156,1,1,1,1,1,1,1,1,1,1,1,1
SE16,1,1,1,1,1,1,1,1,1,1,1,1
SE162,1,1,1,1,1,1,1,1,1,1,1,1
SE163,1,1,1,1,1,1,1,1,1,1,1,1
SE165,1,1,1,1,1,1,1,1,1,1,1,1
SE181,1,1,1,1,1,1,1,1,1,1,1,1
SE166,1,1,1,1,1,1,1,1,1,1,1,1
SE167,1,1,1,1,1,1,1,1,1,1,1,1
SE17,1,1,1,1,1,1,1,1,1,1,1,1
SE171,1,1,1,1,1,1,1,1,1,1,1,1
SE172,1,1,1,1,1,1,1,1,1,1,1,1
SE173,1,1,1,1,1,1,1,1,1,1,1,1
SE18,1,1,1,1,1,1,1,1,1,1,1,1
SW184,1,1,1,1,1,1,1,1,1,1,1,1
SW194,1,1,1,1,1,1,1,1,1,1,1,1
SW191,1,1,1,1,1,1,1,1,1,1,1,1
SW192,1,1,1,1,1,1,1,1,1,1,1,1
UB56,1,1,1,1,1,1,1,1,1,1,1,1
UB60,1,1,1,1,1,1,1,1,1,1,1,1
UB67,1,1,1,1,1,1,1,1,1,1,1,1
UB68,1,1,1,1,1,1,1,1,1,1,1,1
UB69,1,1,1,1,1,1,1,1,1,1,1,1
W104,1,1,1,1,1,1,1,1,1,1,1,1
W105,1,1,1,1,1,1,1,1,1,1,1,1
W106,1,1,1,1,1,1,1,1,1,1,1,1
W111,1,1,1,1,1,1,1,1,1,1,1,1
W112,1,1,1,1,1,1,1,1,1,1,1,1
W113,1,1,1,1,1,1,1,1,1,1,1,1
W114,1,1,1,1,1,1,1,1,1,1,1,1
W120,1,1,1,1,1,1,1,1,1,1,1,1
W127,1,1,1,1,1,1,1,1,1,1,1,1
W128,1,1,1,1,1,1,1,1,1,1,1,1
W129,1,1,1,1,1,1,1,1,1,1,1,1
W130,1,1,1,1,1,1,1,1,1,1,1,1
UB55,1,1,1,1,1,1,1,1,1,1,1,1
UB54,1,1,1,1,1,1,1,1,1,1,1,1
UB25,1,1,1,1,1,1,1,1,1,1,1,1
TW88,1,1,1,1,1,1,1,1,1,1,1,1
TW50,1,1,1,1,1,1,1,1,1,1,1,1
TW59,1,1,1,1,1,1,1,1,1,1,1,1
TW74,1,1,1,1,1,1,1,1,1,1,1,1
TW75,1,1,1,1,1,1,1,1,1,1,1,1
TW76,1,1,1,1,1,1,1,1,1,1,1,1
TW77,1,1,1,1,1,1,1,1,1,1,1,1
TW80,1,1,1,1,1,1,1,1,1,1,1,1
TW89,1,1,1,1,1,1,1,1,1,1,1,1
UB24,1,1,1,1,1,1,1,1,1,1,1,1
TW91,1,1,1,1,1,1,1,1,1,1,1,1
TW92,1,1,1,1,1,1,1,1,1,1,1,1
TW93,1,1,1,1,1,1,1,1,1,1,1,1
TW94,1,1,1,1,1,1,1,1,1,1,1,1
UB11,1,1,1,1,1,1,1,1,1,1,1,1
UB12,1,1,1,1,1,1,1,1,1,1,1,1
UB13,1,1,1,1,1,1,1,1,1,1,1,1
W138,1,1,1,1,1,1,1,1,1,1,1,1
W139,1,1,1,1,1,1,1,1,1,1,1,1
W140,1,1,1,1,1,1,1,1,1,1,1,1
W72,1,1,1,1,1,1,1,1,1,1,1,1
W54,1,1,1,1,1,1,1,1,1,1,1,1
W55,1,1,1,1,1,1,1,1,1,1,1,1
W60,1,1,1,1,1,1,1,1,1,1,1,1
W67,1,1,1,1,1,1,1,1,1,1,1,1
W68,1,1,1,1,1,1,1,1,1,1,1,1
W69,1,1,1,1,1,1,1,1,1,1,1,1
W71,1,1,1,1,1,1,1,1,1,1,1,1
W73,1,1,1,1,1,1,1,1,1,1,1,1
W52,1,1,1,1,1,1,1,1,1,1,1,1
W84,1,1,1,1,1,1,1,1,1,1,1,1
W85,1,1,1,1,1,1,1,1,1,1,1,1
W86,1,1,1,1,1,1,1,1,1,1,1,1
W87,1,1,1,1,1,1,1,1,1,1,1,1
W91,1,1,1,1,1,1,1,1,1,1,1,1
W92,1,1,1,1,1,1,1,1,1,1,1,1
W93,1,1,1,1,1,1,1,1,1,1,1,1
W53,1,1,1,1,1,1,1,1,1,1,1,1
W51,1,1,1,1,1,1,1,1,1,1,1,1
W148,1,1,1,1,1,1,1,1,1,1,1,1
W30,1,1,1,1,1,1,1,1,1,1,1,1
W149,1,1,1,1,1,1,1,1,1,1,1,1
W21,1,1,1,1,1,1,1,1,1,1,1,1
W22,1,1,1,1,1,1,1,1,1,1,1,1
W23,1,1,1,1,1,1,1,1,1,1,1,1
W24,1,1,1,1,1,1,1,1,1,1,1,1
W25,1,1,1,1,1,1,1,1,1,1,1,1
W26,1,1,1,1,1,1,1,1,1,1,1,1
W36,1,1,1,1,1,1,1,1,1,1,1,1
W45,1,1,1,1,1,1,1,1,1,1,1,1
W37,1,1,1,1,1,1,1,1,1,1,1,1
W38,1,1,1,1,1,1,1,1,1,1,1,1
W39,1,1,1,1,1,1,1,1,1,1,1,1
W41,1,1,1,1,1,1,1,1,1,1,1,1
W42,1,1,1,1,1,1,1,1,1,1,1,1
W43,1,1,1,1,1,1,1,1,1,1,1,1
W44,1,1,1,1,1,1,1,1,1,1,1,1
TW47,1,1,1,1,1,1,1,1,1,1,1,1
TW46,1,1,1,1,1,1,1,1,1,1,1,1
TW45,1,1,1,1,1,1,1,1,1,1,1,1
SW61,1,1,1,1,1,1,1,1,1,1,1,1
SW40,1,1,1,1,1,1,1,1,1,1,1,1
SW46,1,1,1,1,1,1,1,1,1,1,1,1
SW47,1,1,1,1,1,1,1,1,1,1,1,1
SW48,1,1,1,1,1,1,1,1,1,1,1,1
SW49,1,1,1,1,1,1,1,1,1,1,1,1
SW50,1,1,1,1,1,1,1,1,1,1,1,1
SW59,1,1,1,1,1,1,1,1,1,1,1,1
SW62,1,1,1,1,1,1,1,1,1,1,1,1
SW35,1,1,1,1,1,1,1,1,1,1,1,1
SW63,1,1,1,1,1,1,1,1,1,1,1,1
SW64,1,1,1,1,1,1,1,1,1,1,1,1
SW65,1,1,1,1,1,1,1,1,1,1,1,1
SW66,1,1,1,1,1,1,1,1,1,1,1,1
SW67,1,1,1,1,1,1,1,1,1,1,1,1
SW71,1,1,1,1,1,1,1,1,1,1,1,1
SW72,1,1,1,1,1,1,1,1,1,1,1,1
SW36,1,1,1,1,1,1,1,1,1,1,1,1
SW34,1,1,1,1,1,1,1,1,1,1,1,1
SW74,1,1,1,1,1,1,1,1,1,1,1,1
SW208,1,1,1,1,1,1,1,1,1,1,1,1
SW193,1,1,1,1,1,1,1,1,1,1,1,1
NW62,1,1,1,1,1,1,1,1,1,1,1,1
SW195,1,1,1,1,1,1,1,1,1,1,1,1
SW196,1,1,1,1,1,1,1,1,1,1,1,1
SW197,1,1,1,1,1,1,1,1,1,1,1,1
SW198,1,1,1,1,1,1,1,1,1,1,1,1
SW200,1,1,1,1,1,1,1,1,1,1,1,1
SW209,1,1,1,1,1,1,1,1,1,1,1,1
SW33,1,1,1,1,1,1,1,1,1,1,1,1
SW21,1,1,1,1,1,1,1,1,1,1,1,1
SW22,1,1,1,1,1,1,1,1,1,1,1,1
SW23,1,1,1,1,1,1,1,1,1,1,1,1
SW24,1,1,1,1,1,1,1,1,1,1,1,1
SW25,1,1,1,1,1,1,1,1,1,1,1,1
SW31,1,1,1,1,1,1,1,1,1,1,1,1
SW32,1,1,1,1,1,1,1,1,1,1,1,1
SW73,1,1,1,1,1,1,1,1,1,1,1,1
SW75,1,1,1,1,1,1,1,1,1,1,1,1
TW34,1,1,1,1,1,1,1,1,1,1,1,1
TW140,1,1,1,1,1,1,1,1,1,1,1,1
TW123,1,1,1,1,1,1,1,1,1,1,1,1
TW13,1,1,1,1,1,1,1,1,1,1,1,1
TW134,1,1,1,1,1,1,1,1,1,1,1,1
TW135,1,1,1,1,1,1,1,1,1,1,1,1
TW136,1,1,1,1,1,1,1,1,1,1,1,1
TW137,1,1,1,1,1,1,1,1,1,1,1,1
TW14,1,1,1,1,1,1,1,1,1,1,1,1
TW148,1,1,1,1,1,1,1,1,1,1,1,1
TW121,1,1,1,1,1,1,1,1,1,1,1,1
TW149,1,1,1,1,1,1,1,1,1,1,1,1
TW25,1,1,1,1,1,1,1,1,1,1,1,1
TW26,1,1,1,1,1,1,1,1,1,1,1,1
TW27,1,1,1,1,1,1,1,1,1,1,1,1
TW31,1,1,1,1,1,1,1,1,1,1,1,1
TW32,1,1,1,1,1,1,1,1,1,1,1,1
TW33,1,1,1,1,1,1,1,1,1,1,1,1
TW122,1,1,1,1,1,1,1,1,1,1,1,1
TW12,1,1,1,1,1,1,1,1,1,1,1,1
SW81,1,1,1,1,1,1,1,1,1,1,1,1
SW98,1,1,1,1,1,1,1,1,1,1,1,1
SW82,1,1,1,1,1,1,1,1,1,1,1,1
SW83,1,1,1,1,1,1,1,1,1,1,1,1
SW84,1,1,1,1,1,1,1,1,1,1,1,1
SW85,1,1,1,1,1,1,1,1,1,1,1,1
SW90,1,1,1,1,1,1,1,1,1,1,1,1
SW96,1,1,1,1,1,1,1,1,1,1,1,1
SW97,1,1,1,1,1,1,1,1,1,1,1,1
SW99,1,1,1,1,1,1,1,1,1,1,1,1
TW119,1,1,1,1,1,1,1,1,1,1,1,1
